,expression
0,neg(ts_delta_3(ta_lr_slope_10(ts_sma_8(ts_kurt_20(bar_gof_by_volume_w10_mean)))))
1,"ts_prod_17(sub(ts_argmin_20(mul(ta_dema_21(bar_ofi_signed_qty_sum_w10_std), ts_argmin_20(bar_gof_by_volume_w10_std))), ts_prod_3(ta_dema_21(ts_sum_3(bar_ofi_signed_quote_sum_w10_trend)))))"
2,ts_min_5(ta_dema_8(ts_range_5(bar_ofi_signed_qty_sum_w10_std)))
3,ts_kurt_10(elu(ta_ema_21(bar_ofi_signed_quote_sum_w10_std)))
4,ta_rocp_14(ts_prod_3(ta_rocr_14(bar_ofi_signed_quote_sum_w10_mean)))
5,"ta_dema_8(ta_cci_14(ta_dema_8(ta_rocr_25(ta_mom_12(bar_ofi_signed_quote_sum_w10_trend))), ta_willr_14(ts_argmin_5(sqrt(bar_gof_by_count_w10_trend)), ta_lr_intercept_5(ts_kurt_10(bar_ofi_signed_qty_sum_w10_mean)), bar_ofi_signed_qty_sum_w10_trend), ta_tema_55(ta_rsi_6(abs(bar_ofi_signed_qty_sum_w10_trend)))))"
6,ts_delta_8(ts_max_20(ts_kurt_40(ta_trima_55(TA_HT_DCPHASE(bar_gof_by_count_w10_trend)))))
7,"ta_dema_21(sub(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore))"
8,log(ts_lag_8(ts_argmin_5(bar_ofi_signed_quote_sum_w10_quantile)))
9,ts_lag_17(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_momentum))
10,"ta_rocp_25(ts_argmin_5(TA_SAR(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
11,"ts_skew_10(ta_tsf_10(ta_cci_25(ts_lag_8(bar_gof_by_count_w10_mean), ta_rocp_25(bar_ofi_signed_quote_sum_w10_momentum), ta_tema_21(bar_ofi_signed_qty_sum_w10_std))))"
12,"ta_dema_8(ta_aroonosc_14(ta_trima_21(TS_COV_40(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_trend)), ta_lr_slope_20(ts_prod_3(bar_gof_by_volume_w10_std))))"
13,ta_lr_slope_20(ts_skew_10(ts_lag_3(ts_min_20(bar_gof_by_volume_w10_std))))
14,"ta_beta_5(add(ta_tsf_10(bar_ofi_signed_quote_sum_w10_quantile), ts_mean_return_20(bar_gof_by_count_w10_trend)), ta_tsf_10(div(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_zscore)))"
15,"ta_cci_25(ta_ema_55(ta_atr_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_std, ts_min_5(bar_ofi_signed_quote_sum_w10_quantile))), bar_ofi_signed_quote_sum_w10_zscore, ta_tema_21(ts_max_10(ta_lr_angle_20(bar_gof_by_count_w10_trend))))"
16,"ta_dx_14(ta_lr_intercept_10(ts_skew_10(bar_ofi_signed_qty_sum_w10_mean)), ts_argmax_5(ts_range_20(bar_gof_by_volume_w10_mean)), abs(TA_SAR(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_std)))"
17,ta_ema_21(elu(ts_argrange_5(ta_trima_8(bar_gof_by_count_w10_mean))))
18,"ts_mean_return_10(ta_mfi_14(ta_tema_8(ts_wma_21(bar_ofi_signed_quote_sum_w10_std)), ta_dema_55(ts_wma_21(bar_gof_by_volume_w10_std)), ts_sum_8(max(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_volume_w10_mean)), ta_mfi_25(ts_argrange_20(bar_ofi_signed_quote_sum_w10_zscore), ta_ema_55(bar_ofi_signed_quote_sum_w10_zscore), inv(bar_ofi_signed_quote_sum_w10_trend), ts_sma_8(bar_ofi_signed_quote_sum_w10_mean))))"
19,ts_skew_10(ta_dema_8(ts_lag_3(ts_max_20(bar_gof_by_volume_w10_trend))))
20,ts_sum_8(ts_skew_10(ts_argmax_5(ta_dema_55(ts_argmax_5(bar_gof_by_count_w10_std)))))
21,"ta_beta_5(min(ta_lr_intercept_5(TA_HT_DCPHASE(ta_lr_angle_20(bar_ofi_signed_qty_sum_w10_mean))), ta_mom_25(abs(ta_rsi_6(bar_gof_by_count_w10_trend)))), ta_dema_8(ts_sma_55(ts_delta_8(bar_gof_by_volume_w10_std))))"
22,"ta_lr_slope_20(TA_SAR(ta_trima_8(ts_rank_10(bar_gof_by_count_w10_mean)), ts_delta_8(ta_trix_55(bar_ofi_signed_qty_sum_w10_std))))"
23,ts_argmin_10(ts_rank_10(ta_trima_55(ts_sum_17(ts_delta_3(bar_ofi_signed_qty_sum_w10_trend)))))
24,ts_delta_3(ts_argmax_5(ts_rank_20(bar_ofi_signed_quote_sum_w10_zscore)))
25,"ta_tsf_5(ta_aroonosc_14(ta_tsf_5(bar_gof_by_volume_w10_std), ts_sma_55(bar_ofi_signed_quote_sum_w10_std)))"
26,ta_rocr_14(ts_argrange_10(inv(ta_trima_21(bar_ofi_signed_quote_sum_w10_std))))
27,tan(ta_cmo_25(ta_lr_slope_20(bar_gof_by_count_w10_mean)))
28,"TA_SAR(ts_rank_10(ta_lr_angle_5(bar_gof_by_volume_w10_mean)), inv(ts_argrange_5(ta_tsf_20(bar_ofi_signed_quote_sum_w10_trend))))"
29,"ta_cci_14(ts_argmax_10(ts_argmin_5(bar_ofi_signed_qty_sum_w10_trend)), ta_tsf_10(TS_CORR_20(bar_gof_by_volume_w10_mean, bar_gof_by_count_w10_trend)), neg(ta_lr_slope_5(bar_gof_by_volume_w10_trend)))"
30,"ta_cci_25(ts_sma_8(max(ts_argmax_5(ta_ema_21(bar_gof_by_count_w10_std)), TA_TRANGE(ts_prod_17(bar_gof_by_volume_w10_trend), ta_dema_21(bar_ofi_signed_quote_sum_w10_momentum), ta_tsf_5(bar_ofi_signed_quote_sum_w10_momentum)))), ta_cci_14(ta_trix_8(ta_lr_intercept_5(ts_max_5(bar_ofi_signed_quote_sum_w10_mean))), ts_wma_21(ts_lag_17(ts_max_20(bar_gof_by_volume_w10_std))), ts_argmin_20(ta_rocp_25(ta_trix_55(bar_gof_by_volume_w10_std)))), sin(sqrt(ta_rsi_6(ta_ema_8(bar_gof_by_count_w10_std)))))"
31,"ts_kurt_20(TS_COV_20(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_std))"
32,ta_rocr_14(ts_skew_40(bar_ofi_signed_qty_sum_w10_std))
33,ta_cmo_25(ts_argrange_20(ta_tsf_20(ta_mom_12(bar_gof_by_volume_w10_std))))
34,ta_mom_25(ts_mean_return_5(ta_dema_21(bar_ofi_signed_quote_sum_w10_momentum)))
35,"ta_cci_25(ta_rocp_14(ta_minus_di_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_count_w10_std, bar_gof_by_volume_w10_std)), add(ta_ema_21(bar_ofi_signed_qty_sum_w10_std), ts_wma_21(bar_ofi_signed_quote_sum_w10_quantile)), ts_wma_21(ts_argmax_20(bar_gof_by_count_w10_mean)))"
36,"ts_delta_8(ta_cci_25(ta_willr_14(bar_gof_by_volume_w10_std, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_momentum), ta_mom_12(bar_gof_by_count_w10_mean), bar_gof_by_volume_w10_trend))"
37,"abs(ts_prod_3(ta_tsf_10(TA_BOP(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_trend))))"
38,"ts_skew_20(ta_aroonosc_14(ta_dema_21(ts_argmax_10(bar_ofi_signed_qty_sum_w10_mean)), TA_HT_DCPHASE(ta_mfi_14(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_count_w10_mean, bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_quote_sum_w10_zscore))))"
39,"ts_kurt_40(ta_trima_21(TA_BOP(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_std, bar_ofi_signed_qty_sum_w10_trend)))"
40,ts_kurt_10(ts_lag_8(ts_skew_20(bar_ofi_signed_qty_sum_w10_trend)))
41,"ts_min_5(ta_cci_25(ta_cci_14(ta_cci_25(ts_mean_return_10(bar_gof_by_count_w10_std), ta_minus_dm_25(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_zscore), ta_tema_8(bar_ofi_signed_quote_sum_w10_trend)), ta_cmo_25(ts_range_5(bar_gof_by_volume_w10_trend)), ta_willr_25(ta_trima_21(bar_gof_by_volume_w10_trend), ts_std_20(bar_ofi_signed_qty_sum_w10_mean), ta_rsi_12(bar_ofi_signed_quote_sum_w10_zscore))), ta_dx_14(sqrt(ta_atr_14(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_trend)), ta_tsf_10(ts_sum_8(bar_ofi_signed_quote_sum_w10_std)), add(ta_lr_angle_20(bar_gof_by_count_w10_mean), add(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_mean))), ta_atr_14(ts_rank_5(ta_trix_21(bar_gof_by_count_w10_trend)), TA_TRANGE(ta_tsf_10(bar_ofi_signed_qty_sum_w10_mean), ta_dema_21(bar_ofi_signed_quote_sum_w10_mean), ta_rsi_6(bar_ofi_signed_qty_sum_w10_std)), ts_argmax_10(ts_sma_21(bar_ofi_signed_qty_sum_w10_std)))))"
42,"TA_SAR(ts_max_10(bar_ofi_signed_qty_sum_w10_std), ta_lr_angle_5(bar_gof_by_count_w10_std))"
43,neg(ta_mom_25(ts_lag_3(bar_ofi_signed_quote_sum_w10_momentum)))
44,"ta_beta_5(ta_lr_intercept_10(ts_lag_3(bar_ofi_signed_qty_sum_w10_mean)), min(ts_sum_8(ts_max_20(bar_ofi_signed_qty_sum_w10_trend)), ts_max_20(ts_mean_return_10(bar_gof_by_count_w10_trend))))"
45,"ts_argmin_20(ts_kurt_20(sin(ta_dema_21(max(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_qty_sum_w10_trend)))))"
46,ts_delta_3(ts_sum_17(tanh(bar_gof_by_count_w10_mean)))
47,"ts_argrange_20(ta_rsi_6(ta_beta_20(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_mean)))"
48,ts_delta_8(ts_argmin_5(bar_gof_by_volume_w10_mean))
49,ts_prod_8(ta_dema_8(ts_argmin_10(ts_mean_return_20(ta_lr_intercept_20(bar_gof_by_volume_w10_std)))))
50,"ts_delta_17(ts_argrange_10(ts_argrange_5(mul(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_volume_w10_std))))"
51,"ta_willr_14(ta_trima_21(ta_lr_slope_5(bar_ofi_signed_qty_sum_w10_std)), ts_argmax_5(inv(bar_ofi_signed_quote_sum_w10_quantile)), ta_rsi_12(ta_tema_21(bar_ofi_signed_quote_sum_w10_quantile)))"
52,ta_rocp_25(ts_sum_3(bar_ofi_signed_quote_sum_w10_mean))
53,ta_lr_slope_5(ts_kurt_40(ts_wma_21(ta_dema_8(bar_gof_by_count_w10_mean))))
54,"ta_beta_10(ta_dx_25(ts_kurt_40(bar_gof_by_count_w10_trend), ts_rank_20(bar_ofi_signed_qty_sum_w10_std), max(bar_ofi_signed_quote_sum_w10_quantile, bar_gof_by_count_w10_std)), cos(ts_kurt_10(bar_ofi_signed_qty_sum_w10_trend)))"
55,"sub(ta_dema_21(ta_lr_slope_10(ta_lr_intercept_5(ta_tsf_10(bar_gof_by_count_w10_mean)))), ts_prod_8(TA_TRANGE(ts_lag_8(ta_rocr_14(bar_gof_by_count_w10_std)), ts_rank_5(ta_dx_25(bar_gof_by_count_w10_std, bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_trend)), ts_argmax_5(ts_wma_8(bar_ofi_signed_quote_sum_w10_trend)))))"
56,"ts_prod_8(TA_SAR(elu(ts_std_10(ts_min_10(bar_gof_by_volume_w10_trend))), ta_rsi_12(ts_argrange_20(elu(bar_ofi_signed_quote_sum_w10_momentum)))))"
57,"ta_lr_angle_10(min(ta_rocr_14(ts_argmax_5(bar_gof_by_volume_w10_std)), sub(TS_CORR_40(bar_gof_by_volume_w10_std, bar_ofi_signed_qty_sum_w10_mean), ta_mom_25(bar_ofi_signed_quote_sum_w10_trend))))"
58,ts_skew_10(TA_HT_DCPERIOD(bar_gof_by_volume_w10_trend))
59,ts_kurt_20(ta_trima_21(bar_ofi_signed_quote_sum_w10_momentum))
60,"min(ts_delta_17(bar_gof_by_count_w10_trend), ts_delta_3(bar_ofi_signed_quote_sum_w10_quantile))"
61,"ta_cci_14(ta_dema_55(ta_rocr_14(bar_ofi_signed_qty_sum_w10_mean)), ta_aroonosc_14(ts_min_20(bar_ofi_signed_quote_sum_w10_momentum), sqrt(bar_gof_by_volume_w10_trend)), ta_lr_intercept_10(ta_rocr_14(bar_gof_by_count_w10_std)))"
62,"TA_BOP(mul(ts_argmax_20(bar_gof_by_volume_w10_mean), ta_rsi_24(bar_ofi_signed_qty_sum_w10_trend)), ta_minus_dm_25(ta_mfi_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_momentum), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_std)), ts_prod_8(ts_delta_17(bar_gof_by_count_w10_trend)), ts_rank_5(ts_lag_3(bar_ofi_signed_qty_sum_w10_std)))"
63,ta_rocp_25(ts_sum_17(ta_ema_8(ts_lag_8(ts_argmax_10(bar_ofi_signed_quote_sum_w10_trend)))))
64,ts_skew_10(ta_tema_8(ts_skew_40(bar_gof_by_volume_w10_mean)))
65,"ta_cci_14(ts_std_40(bar_gof_by_count_w10_mean), ta_rocr_25(bar_gof_by_volume_w10_mean), ts_wma_55(bar_gof_by_count_w10_trend))"
66,ta_trix_8(ts_prod_17(bar_ofi_signed_qty_sum_w10_mean))
67,"TA_TRANGE(ta_tema_21(bar_ofi_signed_quote_sum_w10_zscore), TA_TRANGE(bar_ofi_signed_qty_sum_w10_trend, bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_trend), ta_dema_21(bar_ofi_signed_quote_sum_w10_mean))"
68,ts_kurt_10(ts_sum_3(ta_tsf_20(bar_ofi_signed_qty_sum_w10_trend)))
69,ts_argmin_10(ts_wma_21(ts_kurt_10(bar_gof_by_count_w10_trend)))
70,"ta_cci_14(ts_wma_8(bar_ofi_signed_quote_sum_w10_std), ta_aroonosc_25(bar_ofi_signed_quote_sum_w10_trend, bar_gof_by_count_w10_mean), ts_sum_17(bar_gof_by_count_w10_mean))"
71,"ta_rocp_14(ts_mean_return_20(sub(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_mean)))"
72,ta_rocp_25(ts_argmin_5(bar_gof_by_count_w10_std))
73,"ta_lr_angle_10(ta_dema_8(ta_mfi_14(ta_tema_55(ts_min_10(bar_gof_by_volume_w10_std)), ta_cmo_25(ta_lr_angle_10(bar_gof_by_volume_w10_std)), bar_ofi_signed_quote_sum_w10_quantile, ts_wma_8(elu(bar_gof_by_count_w10_trend)))))"
74,elu(ta_tsf_5(ts_argmax_5(ta_lr_angle_10(ts_sma_55(bar_ofi_signed_quote_sum_w10_trend)))))
75,ta_lr_angle_5(ts_argrange_10(bar_ofi_signed_quote_sum_w10_quantile))
76,"ta_cci_25(cos(bar_gof_by_count_w10_std), ts_delta_17(bar_ofi_signed_quote_sum_w10_mean), ts_skew_40(bar_gof_by_count_w10_mean))"
77,"ta_tsf_10(ts_delta_3(ta_rsi_6(TA_SAR(ts_std_20(bar_ofi_signed_quote_sum_w10_mean), ta_lr_angle_10(bar_ofi_signed_quote_sum_w10_trend)))))"
78,"ta_willr_14(ta_trix_21(ta_dema_8(bar_gof_by_count_w10_trend)), sin(div(bar_gof_by_count_w10_mean, bar_gof_by_count_w10_std)), ts_skew_20(ta_cci_25(bar_gof_by_count_w10_trend, bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
79,"ta_beta_5(inv(div(ta_minus_dm_14(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_std), ts_wma_8(bar_ofi_signed_qty_sum_w10_mean))), ts_kurt_20(ts_rank_20(ta_rsi_6(bar_gof_by_volume_w10_std))))"
80,"ta_lr_slope_5(TS_COV_40(ts_lag_17(ts_skew_20(bar_gof_by_count_w10_std)), bar_ofi_signed_qty_sum_w10_std))"
81,"sub(log(ts_delta_8(ta_dema_8(bar_ofi_signed_quote_sum_w10_zscore))), ts_prod_3(ts_argmax_5(ta_tema_55(bar_ofi_signed_quote_sum_w10_momentum))))"
82,"ta_willr_14(sqrt(div(ta_minus_di_25(ta_tema_55(bar_ofi_signed_quote_sum_w10_momentum), ta_rocr_14(bar_ofi_signed_qty_sum_w10_std), ta_lr_slope_10(bar_ofi_signed_qty_sum_w10_std)), bar_gof_by_volume_w10_trend)), ta_aroonosc_25(bar_ofi_signed_quote_sum_w10_std, TA_HT_DCPERIOD(ts_sma_55(ts_skew_10(bar_gof_by_volume_w10_trend)))), bar_gof_by_count_w10_trend)"
83,ts_delta_3(tan(ta_lr_slope_20(bar_gof_by_count_w10_trend)))
84,ts_argmax_20(ts_sum_3(ts_lag_17(ts_min_10(bar_ofi_signed_quote_sum_w10_quantile))))
85,"ta_rsi_6(ts_range_20(TS_COV_20(bar_gof_by_volume_w10_mean, ta_lr_slope_10(ts_std_20(bar_ofi_signed_qty_sum_w10_trend)))))"
86,ta_tsf_5(ts_prod_8(bar_gof_by_count_w10_trend))
87,"div(div(ta_lr_slope_5(ta_tsf_5(neg(bar_ofi_signed_quote_sum_w10_momentum))), ts_prod_3(TA_HT_DCPHASE(ta_tema_21(bar_gof_by_count_w10_std)))), neg(ts_argmax_20(ta_mfi_14(ta_trima_21(bar_ofi_signed_quote_sum_w10_mean), tanh(bar_ofi_signed_qty_sum_w10_mean), TS_CORR_20(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_volume_w10_std), abs(bar_gof_by_volume_w10_std)))))"
88,"ta_beta_20(min(ta_aroonosc_14(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_quote_sum_w10_quantile), ts_argrange_10(bar_ofi_signed_qty_sum_w10_trend)), elu(cos(bar_ofi_signed_qty_sum_w10_std)))"
89,ta_lr_slope_20(ts_lag_17(bar_ofi_signed_quote_sum_w10_zscore))
90,inv(ta_dema_21(ts_kurt_10(bar_ofi_signed_quote_sum_w10_zscore)))
91,"ta_cci_14(ta_trix_21(ts_sma_55(ts_max_5(ts_kurt_10(bar_ofi_signed_qty_sum_w10_std)))), ts_argmin_20(ta_lr_angle_20(inv(TA_TRANGE(bar_ofi_signed_quote_sum_w10_momentum, bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_std)))), min(ts_kurt_20(ta_lr_intercept_10(ts_sum_3(bar_gof_by_volume_w10_mean))), ts_argrange_20(ta_beta_10(ta_aroonosc_14(bar_ofi_signed_quote_sum_w10_zscore, bar_ofi_signed_qty_sum_w10_mean), ta_minus_di_25(bar_ofi_signed_quote_sum_w10_quantile, bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_quantile)))))"
92,"div(ts_min_10(ta_dema_8(div(bar_ofi_signed_qty_sum_w10_mean, bar_ofi_signed_qty_sum_w10_trend))), ts_mean_return_20(ta_tsf_10(ta_dema_21(bar_gof_by_volume_w10_std))))"
93,ts_mean_return_5(bar_ofi_signed_quote_sum_w10_quantile)
94,"mul(ts_lag_8(bar_gof_by_volume_w10_mean), ts_kurt_10(bar_ofi_signed_quote_sum_w10_momentum))"
95,"ts_kurt_10(ta_minus_di_14(TA_TRANGE(ts_wma_21(ts_std_10(bar_ofi_signed_quote_sum_w10_trend)), ts_argmin_20(ta_willr_25(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_trend)), ta_cmo_25(ts_mean_return_10(bar_gof_by_volume_w10_trend))), ta_dx_14(ta_lr_intercept_10(max(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_std)), ta_beta_10(bar_gof_by_volume_w10_trend, mul(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_quantile)), ts_argmin_5(bar_ofi_signed_quote_sum_w10_std)), log(ts_sum_17(ta_rsi_12(bar_ofi_signed_quote_sum_w10_trend)))))"
96,"ts_argmin_5(TS_COV_40(ta_cmo_25(ts_argmin_20(ts_argrange_5(bar_gof_by_volume_w10_mean))), ta_minus_dm_25(add(bar_gof_by_volume_w10_mean, ts_mean_return_20(bar_ofi_signed_quote_sum_w10_momentum)), ta_ema_21(ts_std_20(bar_gof_by_count_w10_trend)))))"
97,"TS_CORR_20(ta_beta_5(ta_cci_25(bar_ofi_signed_qty_sum_w10_mean, bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_quantile), ta_willr_14(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_mean, bar_gof_by_count_w10_std)), ta_atr_25(ta_trix_21(bar_gof_by_count_w10_mean), elu(bar_ofi_signed_quote_sum_w10_mean), ta_rocr_14(bar_ofi_signed_quote_sum_w10_trend)))"
98,ts_lag_8(ta_mom_12(ta_rsi_12(bar_ofi_signed_quote_sum_w10_quantile)))
99,ts_rank_5(ts_lag_17(sqrt(ta_rocp_25(ta_tsf_20(bar_ofi_signed_quote_sum_w10_std)))))
100,"TA_BOP(sub(ta_trix_55(ts_argmin_10(bar_ofi_signed_quote_sum_w10_std)), bar_ofi_signed_qty_sum_w10_std), ta_minus_di_14(ts_wma_55(ta_aroonosc_14(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_quote_sum_w10_mean)), ts_argmin_10(ta_dema_8(bar_ofi_signed_quote_sum_w10_momentum)), ts_mean_return_10(neg(bar_ofi_signed_quote_sum_w10_std))), add(ta_trix_8(ta_dx_14(bar_gof_by_volume_w10_mean, bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_qty_sum_w10_mean)), ts_delta_8(ta_dema_21(bar_gof_by_volume_w10_trend))), min(ta_lr_slope_20(ta_cci_25(bar_ofi_signed_quote_sum_w10_trend, bar_ofi_signed_qty_sum_w10_std, bar_ofi_signed_quote_sum_w10_std)), min(ta_minus_di_25(bar_ofi_signed_quote_sum_w10_std, bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_trend), inv(bar_ofi_signed_quote_sum_w10_std))))"
